template_id,template_name,category,subcategory,chart_type,description,use_cases,keywords,data_structure,config_template
sales-funnel-001,Sales Funnel Chart,Sales & Marketing,Conversion Analytics,funnel,Visualize conversion rates across sales stages,Lead generation tracking|Sales pipeline analysis|Marketing funnel optimization,"funnel chart,sales funnel,conversion funnel,marketing funnel,pipeline","{""stages"": [""string""], ""values"": [""number""], ""colors"": [""string""]}","{""showPercentages"": true, ""showValues"": true, ""animate"": true}"
kpi-dashboard-001,KPI Dashboard,Business Intelligence,Performance Metrics,composite,Multi-metric dashboard showing key performance indicators,Executive dashboards|Performance monitoring|Goal tracking,"kpi dashboard,performance dashboard,metrics dashboard,executive dashboard,business metrics","{""metrics"": [{""name"": ""string"", ""value"": ""number"", ""target"": ""number"", ""unit"": ""string""}]}","{""layout"": ""grid"", ""showTrends"": true, ""showTargets"": true}"
scatter-plot-001,Scatter Plot Analysis,Data Analysis,Correlation Analysis,scatter,Show relationship between two variables,Correlation analysis|Pattern detection|Data clustering,"scatter plot,scatter chart,correlation chart,xy chart,data points","{""xAxis"": [""number""], ""yAxis"": [""number""], ""labels"": [""string""]}","{""showTrendLine"": true, ""showLabels"": true, ""pointSize"": 5}"
gantt-timeline-001,Gantt Chart,Project Management,Timeline Planning,gantt,Project timeline with tasks and dependencies,Project planning|Resource scheduling|Timeline visualization,"gantt chart,project timeline,task timeline,project schedule,timeline","{""tasks"": [{""name"": ""string"", ""start"": ""date"", ""end"": ""date"", ""progress"": ""number""}]}","{""showDependencies"": true, ""showProgress"": true, ""showMilestones"": true}"
bar-comparison-001,Bar Chart Comparison,Data Visualization,Comparative Analysis,bar,Compare values across categories,Sales comparison|Performance comparison|Category analysis,"bar chart,bar graph,comparison chart,column chart,vertical bars","{""categories"": [""string""], ""values"": [""number""], ""series"": [""string""]}","{""horizontal"": false, ""stacked"": false, ""showValues"": true}"
pie-distribution-001,Pie Chart Distribution,Data Visualization,Composition Analysis,pie,Show proportional distribution of categories,Market share|Budget allocation|Resource distribution,"pie chart,donut chart,distribution chart,percentage chart,proportion","{""labels"": [""string""], ""values"": [""number""], ""colors"": [""string""]}","{""showPercentages"": true, ""showLegend"": true, ""donut"": false}"
line-trend-001,Line Trend Chart,Data Analysis,Trend Analysis,line,Visualize trends over time,Sales trends|Performance trends|Time series analysis,"line chart,line graph,trend chart,time series,growth chart","{""labels"": [""string""], ""datasets"": [{""label"": ""string"", ""data"": [""number""]}]}","{""smooth"": true, ""showPoints"": true, ""showArea"": false}"
heatmap-001,Heatmap Matrix,Data Analysis,Intensity Analysis,heatmap,Show data intensity using color gradients,User activity|Performance matrix|Correlation matrix,"heatmap,heat map,intensity map,matrix visualization,color map","{""rows"": [""string""], ""columns"": [""string""], ""values"": [[""number""]]}","{""colorScheme"": ""gradient"", ""showValues"": true, ""showScale"": true}"
radar-multi-001,Radar Chart,Comparative Analysis,Multi-dimensional Comparison,radar,Compare multiple variables across categories,Skill assessment|Product comparison|Performance evaluation,"radar chart,spider chart,web chart,star chart,multi-axis","{""axes"": [""string""], ""datasets"": [{""label"": ""string"", ""values"": [""number""]}]}","{""filled"": true, ""showPoints"": true, ""maxValue"": 100}"
waterfall-001,Waterfall Chart,Financial Analysis,Sequential Changes,waterfall,Show cumulative effect of sequential values,Financial reporting|Profit analysis|Cash flow tracking,"waterfall chart,bridge chart,cascade chart,cumulative chart,financial flow","{""categories"": [""string""], ""values"": [""number""], ""types"": [""string""]}","{""showConnectors"": true, ""showTotal"": true, ""positiveColor"": ""green""}"
area-stack-001,Stacked Area Chart,Data Visualization,Composition Over Time,area,Show composition changes over time,Market composition|Resource allocation|Portfolio tracking,"stacked area,area chart,cumulative chart,composition timeline,layered chart","{""labels"": [""string""], ""datasets"": [{""label"": ""string"", ""data"": [""number""]}]}","{""stacked"": true, ""smooth"": true, ""showLegend"": true}"
bubble-chart-001,Bubble Chart,Data Analysis,Three-dimensional Analysis,bubble,Show three variables using x/y/size,Portfolio analysis|Risk assessment|Market positioning,"bubble chart,bubble plot,three dimensional,3d scatter,size comparison","{""data"": [{""x"": ""number"", ""y"": ""number"", ""size"": ""number"", ""label"": ""string""}]}","{""showLabels"": true, ""minBubbleSize"": 10, ""maxBubbleSize"": 50}"
sankey-flow-001,Sankey Diagram,Flow Analysis,Process Flow,sankey,Visualize flow between stages,Process optimization|Resource flow|User journey,"sankey diagram,flow diagram,flow chart,process flow,stream flow","{""nodes"": [""string""], ""links"": [{""source"": ""number"", ""target"": ""number"", ""value"": ""number""}]}","{""nodeWidth"": 15, ""nodePadding"": 10, ""showValues"": true}"
treemap-001,Treemap Hierarchy,Hierarchical Data,Nested Proportions,treemap,Show hierarchical data using nested rectangles,File system visualization|Budget hierarchy|Market composition,"treemap,tree map,hierarchical chart,nested boxes,proportional boxes","{""data"": [{""name"": ""string"", ""value"": ""number"", ""children"": [""object""]}]}","{""colorScheme"": ""categorical"", ""showLabels"": true, ""showValues"": true}"
gauge-meter-001,Gauge Meter,Performance Metrics,Single Metric Display,gauge,Show single metric with target ranges,KPI display|Progress tracking|Performance indicator,"gauge chart,meter chart,speedometer,progress gauge,performance meter","{""value"": ""number"", ""min"": ""number"", ""max"": ""number"", ""ranges"": [{""from"": ""number"", ""to"": ""number"", ""color"": ""string""}]}","{""showValue"": true, ""showRanges"": true, ""needleColor"": ""black""}"
